,username,retweet_or_quote_screen_name,type
2190,NOAA,1,OI
1906,WWE,1,OI
3250,VersusTexas,1,OI
3258,TexasCounties,1,OI
3247,txadvproject,1,OI
7,TXAMFoundation,290,OI
40,TXForestService,95,OI
41,KBTXNews,92,OI
52,txamiu,82,OI
77,txextension,58,OI
111,CSTXPolice,36,OI
173,KAGSnews,19,OI
181,HeartOTXHeartMD,18,OI
182,TxWRI,18,OI
195,statnews,16,OI
223,KBTXShel,14,OI
230,healthysouthtx,13,OI
239,TXSeaGrant,12,OI
307,RebuildTXtoday,10,OI
381,FuturityNews,7,OI
1147,KBTXMia,2,OI
2915,NBCNightlyNews,1,OI
1172,RachieZTx,2,OI
2815,KBTXMax,1,OI
2830,USNewsInvesting,1,OI
2832,AHRQNews,1,OI
2835,NIDAnews,1,OI
2836,NIAAAnews,1,OI
2848,ElsevierNews,1,OI
2852,stlnewsonline,1,OI
2861,USNewsHealth,1,OI
2905,TheHistoryofTX,1,OI
2906,NewsMedical,1,OI
2910,TxChuy,1,OI
2912,LtGovTX,1,OI
2766,ItsTimeTX,1,OI
2926,meggersatx,1,OI
2931,keranews,1,OI
2967,txpharmacyboard,1,OI
3002,TxDOTBryan,1,OI
3013,recentertx,1,OI
3028,HCOnews,1,OI
3078,ENRnews,1,OI
3097,ShareTheRoadTX,1,OI
3145,TxWaterJournal,1,OI
3180,BrazosCountyTX,1,OI
3185,CSTXFire,1,OI
3195,EDFtx,1,OI
2067,TexasTechFB,1,OI
2930,ksatnews,1,OI
2755,FourPriceTX,1,OI
2746,StopTXSuicides,1,OI
2688,KBTXGrace,1,OI
1199,hcphtx,2,OI
1240,TxDPS,2,OI
1260,TxDOT,2,OI
1263,TXStateAquarium,2,OI
1294,TXWorkforce,2,OI
1339,TXKGazette,1,OI
1353,DrBuckinghamTX,1,OI
1359,PolishAmerTx,1,OI
1386,ZackCochranTX,1,OI
1390,TXMilitary,1,OI
1401,SurfingTopNews,1,OI
1420,DonnaHowardTX,1,OI
1428,NYAmNews,1,OI
1431,SouthsideNewsCC,1,OI
1476,JoaquinCastrotx,1,OI
1597,KAMCNews,1,OI
1661,danielreyestx,1,OI
