,username,in_reply_to_screen_name,type
1848,Blaise66405653,1,P
2272,Chuy_Vuitton,1,P
2271,Blackstock360,1,P
2268,tdgrimm1999,1,P
2265,Only1sheleah,1,P
77,carrie_byington,6,P
2256,april_justice,1,P
2254,awkward_vanessa,1,P
115,BobbiW929,5,P
2248,NYPD20Pct,1,P
80,LEMiller16,6,P
2239,xav_walk,1,P
2238,GaryWestbrook13,1,P
1844,ConnerLeffel25,1,P
1845,tosh6048,1,P
1847,its_kelcey,1,P
2229,makayla445,1,P
2226,jimag83,1,P
2224,SGC_Law,1,P
2221,greatjoe01,1,P
2163,walker_schmidt,1,P
105,zachydg_,5,P
2157,bdonta95,1,P
2152,jamesalazar97,1,P
2067,georgia_2021_,1,P
2066,hgrace_2019,1,P
2064,joser182,1,P
2063,KC_Hino,1,P
2060,DJBarrera20,1,P
2059,Charles_Lee22,1,P
2057,amy2000john,1,P
2052,ximena_marlenne,1,P
2051,Adriannac212,1,P
2050,BenitezO464,1,P
2046,Jenkins16Faith,1,P
2045,stretch_lex,1,P
1856,KenyaJR4,1,P
1857,Gunnar_Baker_,1,P
1858,Lorena51374356,1,P
1859,ShivPat34722815,1,P
2042,DoubleO7akaTheC,1,P
2041,reagan_alston,1,P
2039,CheekyLizz27,1,P
2073,b0yle,1,P
1879,cliff_hogg,1,P
2077,ldav14,1,P
2082,n0uwy,1,P
2149,nikki_atx,1,P
2141,5Year_Senior14,1,P
2140,tmj3232,1,P
1855,jakereynolds22,1,P
2135,sweetlou462,1,P
2134,blaise1w,1,P
2132,FOX4,1,P
2131,katied3316,1,P
2127,cmfoodietruck1,1,P
2123,S_D_H13,1,P
2122,juliabradley26,1,P
2121,Li_Claire17,1,P
2119,ginaz1207,1,P
2114,Hayden_Wesley,1,P
2112,roryhogan11,1,P
2105,danijo7,1,P
2095,Stephbrad07,1,P
2085,SaraCoats_,1,P
2084,jobs4DFW,1,P
2078,TouroLaw_OSS,1,P
49,albert_signs,7,P
2637,kara_grace15,1,P
2605,Annie_Andersen,1,P
3096,iv_muller,1,P
3095,clare_sm,1,P
3091,gator_potato,1,P
3090,hflo24,1,P
3089,jasmine_mcco,1,P
3088,BradyAllen25,1,P
3086,emilyholter4,1,P
3083,allterzis232,1,P
3082,BelarminoT21,1,P
3081,_Patonto,1,P
3073,Alison_theBSide,1,P
3072,Messina_Hof,1,P
3071,gabbaaayy11,1,P
3068,Johnny_Mayson,1,P
3066,_kassandra3,1,P
3064,august_marie2,1,P
3063,C00PER_PHILLIPS,1,P
3060,adri_lopezzz,1,P
3057,SReyna44101753,1,P
3097,Poprocks0,1,P
3098,jomoody23,1,P
3099,peyton__10,1,P
3100,Thejohnster95,1,P
3141,munderhill21,1,P
3140,_n8thon,1,P
3139,k_r_spencer,1,P
3137,jewels1009,1,P
3136,jas_berganza,1,P
3134,kyliechapa13,1,P
3133,Bee_johnson99,1,P
3132,eawagnon1,1,P
3131,bigb_1098,1,P
3056,abby_8514,1,P
3130,megscott3013,1,P
3121,ericstein09,1,P
3120,caleighgee10,1,P
3119,bobby__chambers,1,P
3118,saam_shi,1,P
3110,27Dobbs,1,P
3107,nikkorod10,1,P
3106,Taylorwithan_A,1,P
3104,hannah_junebug,1,P
3102,k_fazzino,1,P
3126,tigermom48,1,P
3054,JyotiSharma3530,1,P
3053,JAScasta11,1,P
3052,SethMontandon1,1,P
3007,gig_me_william,1,P
3005,DelgadoMo59,1,P
3003,rebeccaaa23,1,P
3001,Nurly13,1,P
3000,joshua_rohloff,1,P
2998,STACY01304480,1,P
2997,Kirstin_Burnett,1,P
2996,Esirius2014,1,P
2994,dan_biles,1,P
3008,brehern96,1,P
2993,JustinGraef12,1,P
2991,JD3Thousand,1,P
2986,jimenarod5,1,P
2985,iSteph97,1,P
2984,AgRiley79,1,P
2983,cinco_simpson,1,P
2981,samilam4239,1,P
2980,mamared82,1,P
2979,AMcClain98,1,P
2977,not_that_eric,1,P
2992,melissajewel_3,1,P
3147,tschoonmaker98,1,P
3011,saraha_B75,1,P
3015,rmullen29,1,P
3051,skh21,1,P
3050,OldMan_Bert,1,P
3049,A__Mercado,1,P
3048,JacobNorwood_,1,P
3047,Aaron_D_Rose,1,P
3045,girouard_dana,1,P
3044,RebekahJ85,1,P
3043,navarro_jose14,1,P
3038,capt_Adrian28,1,P
3014,Carolinehoang_,1,P
3037,itschristinaaa8,1,P
3033,dk_prabhu,1,P
3028,alegonzalez15,1,P
3027,JennieKelly04,1,P
14,Lauren_Imbriano,23,P
3024,TravisABC13,1,P
3021,hort_mama,1,P
3019,christyhogan12,1,P
3018,natalienteran16,1,P
3017,JessicaH809,1,P
3036,bigg_dan65,1,P
3149,_ayuhhh,1,P
3151,Dr_JennaY,1,P
3153,ashleyy0816,1,P
3282,STEPHAN792112,1,P
3276,jaks2003,1,P
3273,sara_mehrens,1,P
3272,emckinney_cisd,1,P
3270,The713sniper,1,P
3267,almaalejandraa_,1,P
3265,Sarah_Helenn,1,P
3264,__made__,1,P
3262,twalk316,1,P
3285,brookebingham__,1,P
3261,mo_mariea,1,P
3259,42Kent,1,P
3258,ms_drodriguez,1,P
3256,mollie_mayfield,1,P
5,12thMan,140,P
3249,H_McClain,1,P
3248,ayeeitsdrea_,1,P
3245,cassedup_shawty,1,P
3244,haley_j__,1,P
3242,MyMaria3_,1,P
3260,MZONeal22,1,P
3241,diegosb16,1,P
3289,raleighb14,1,P
3291,laurenEallen24,1,P
3323,Astro_Eustice,1,P
3322,_Angelicaa02,1,P
